	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_00570	PA14_00570	Putative lipoprotein	lipoprotein	match to InterPro signature evidence used in automatic assertion	outer membrane-bounded periplasmic space; protein transport; periplasmic space
PA14_00600	PA14_00600	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding; DNA binding
PA14_00640	phzH	Potential phenazine-modifying enzyme	potential phenazine-modifying enzyme	match to InterPro signature evidence used in automatic assertion	asparagine synthase (glutamine-hydrolyzing) activity; asparagine biosynthetic process; metabolic process
PA14_00650	PA14_00650				
PA14_00660	PA14_00660	tRNA splicing, via endonucleolytic cleavage and ligation	RNA 2'-phosphotransferase-like protein	match to InterPro signature evidence used in automatic assertion	tRNA splicing, via endonucleolytic cleavage and ligation; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, alcohol group as acceptor
PA14_00670	PA14_00670				
PA14_00680	PA14_00680	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_00690	PA14_00690				
PA14_00700	PA14_00700	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein disulfide oxidoreductase activity
PA14_00710	osmC	Osmotically inducible protein OsmC	osmotically inducible protein OsmC	match to InterPro signature evidence used in automatic assertion	response to oxidative stress; peroxidase activity
PA14_00720	PA14_00720				
PA14_00790	prlC	Oligopeptidase A	oligopeptidase A	match to InterPro signature evidence used in automatic assertion	metallopeptidase activity; metalloendopeptidase activity; proteolysis
PA14_00800	PA14_00800				
PA14_00810	PA14_00810	Putative DNA repair photolyase	DNA repair photolyase	match to InterPro signature evidence used in automatic assertion	catalytic activity; iron-sulfur cluster binding
PA14_00820	PA14_00820				
PA14_00850	PA14_00850	Putative permease	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_00860	PA14_00860	Putative ATP-binding component of ABC transporter	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_00875	ppkA	Serine/threonine protein kinase PpkA	serine/threonine protein kinase PpkA	sequence similarity evidence used in automatic assertion	positive regulation of protein secretion; protein serine/threonine kinase activity; protein kinase activity; ATP binding; protein phosphorylation; transferase activity, transferring phosphorus-containing groups
PA14_00890	PA14_00890	Putative serine/threonine phosphoprotein phosphatase	phosphoprotein phosphatase	sequence similarity evidence used in automatic assertion	negative regulation of protein secretion; protein serine/threonine phosphatase activity; catalytic activity
PA14_00940	PA14_00940				
PA14_00980	PA14_00980	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_00990	PA14_00990				
PA14_01020	PA14_01020				
PA14_01030	PA14_01030				
PA14_01040	PA14_01040	Putative secretion protein	secretion protein	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_01100	clpB	Putative ClpA/B-type chaperone	ClpA/B-type chaperone	match to InterPro signature evidence used in automatic assertion	ATP binding
PA14_01130	PA14_01130				
PA14_01150	PA14_01150				
PA14_01190	PA14_01190	Putative 3-oxoacyl-(Acyl-carrier-protein) synthase	3-oxoacyl-ACP synthase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_01230	PA14_01230	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	binding
PA14_01240	PA14_01240	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	carbonic anhydrase	sequence similarity evidence used in automatic assertion	carbonate dehydratase activity; zinc ion binding
PA14_01250	ychM	Putative sulfate transporter	sulfate transporter	match to InterPro signature evidence used in automatic assertion	sulfate transmembrane transporter activity; sulfate transport; integral component of membrane
PA14_01290	coxB	Cytochrome c oxidase subunit 2 (EC 1.9.3.1)	cytochrome c oxidase subunit II	match to InterPro signature evidence used in automatic assertion	electron carrier activity; heme binding; cytochrome-c oxidase activity; copper ion binding; membrane; integral component of membrane; oxidoreductase activity; electron transport chain
PA14_01300	coxA	Cytochrome c oxidase subunit 1 (EC 1.9.3.1)	cytochrome c oxidase subunit I	match to InterPro signature evidence used in automatic assertion	cytochrome-c oxidase activity; oxidation-reduction process; copper ion binding; plasma membrane; transport; electron transport chain; iron ion binding; electron carrier activity; aerobic respiration; integral component of membrane; heme binding
PA14_01310	coxG	Putative cytochrome c oxidase assembly protein	cytochrome C oxidase assembly protein	match to InterPro signature evidence used in automatic assertion	copper ion binding
PA14_01320	coIII	Cytochrome c oxidase, subunit III	cytochrome c oxidase subunit III	match to InterPro signature evidence used in automatic assertion	heme-copper terminal oxidase activity; membrane; cytochrome-c oxidase activity; respiratory electron transport chain
PA14_01340	PA14_01340	SURF1-like protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_01360	ctaA	Putative cytochrome oxidase assembly protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	heme a biosynthetic process; integral component of membrane; oxidoreductase activity, acting on the CH-CH group of donors; oxidation-reduction process
PA14_01380	PA14_01380	protoheme IX farnesyltransferase activity	protoheme IX farnesyltransferase	match to InterPro signature evidence used in automatic assertion	protoheme IX farnesyltransferase activity; integral component of membrane; heme O biosynthetic process; prenyltransferase activity
PA14_01390	PA14_01390				
PA14_01400	elaA	Putative acyltransferase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_01430	PA14_01430	Putative short chain dehydrogenase	short chain dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_01440	PA14_01440	Putative 2-hydroxychromene-2-carboxylate isomerase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein disulfide oxidoreductase activity
PA14_01460	PA14_01460	dicarboxylic acid transport	C4-dicarboxylate transporter DctA	match to InterPro signature evidence used in automatic assertion	dicarboxylic acid transport; membrane; sodium:dicarboxylate symporter activity; plasma membrane; symporter activity
PA14_01470	PA14_01470	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_01480	PA14_01480	Putative transcriptional regulator	hypothetical protein	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_01490	PA14_01490	Putative hemolysin	hemolysin	match to InterPro signature evidence used in automatic assertion	hemolysis by symbiont of host erythrocytes
PA14_01500	PA14_01500	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_01520	PA14_01520	Putative transcriptional regulator	hypothetical protein	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; signal transducer activity; regulation of transcription, DNA-templated; signal transduction
PA14_01540	PA14_01540				
PA14_01550	PA14_01550	Putative lipoprotein	lipoprotein	match to InterPro signature evidence used in automatic assertion	response to desiccation
PA14_01560	PA14_01560				
PA14_01580	gabP	Gamma-aminobutyrate permease	gamma-aminobutyrate permease	match to InterPro signature evidence used in automatic assertion	transport; membrane; transmembrane transport; amino acid transmembrane transport; amino acid transmembrane transporter activity; amino acid transport; integral component of membrane; gamma-aminobutyric acid transmembrane transporter activity; gamma-aminobutyric acid transport
PA14_01600	mmsA	Putative aldehyde dehydrogenase	aldehyde dehydrogenase	sequence similarity evidence used in automatic assertion	beta-alanine biosynthetic process; metabolic process; oxidoreductase activity; oxidation-reduction process; methylmalonate-semialdehyde dehydrogenase (acylating) activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
PA14_01610	PA14_01610	Uncharacterized protein	hypothetical protein	sequence similarity evidence used in automatic assertion	beta-alanine biosynthetic process
PA14_01620	aptA	Beta-alanine--pyruvate transaminase	beta alanine--pyruvate transaminase	sequence similarity evidence used in automatic assertion	beta-alanine biosynthetic process; catalytic activity; pyridoxal phosphate binding; transaminase activity
PA14_01640	PA14_01640	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_01660	guaD	Putative guanine deaminase	guanine deaminase	match to InterPro signature evidence used in automatic assertion	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; guanine catabolic process; zinc ion binding; guanine deaminase activity; hydrolase activity
PA14_01670	PA14_01670	Putative ATP-binding component of ABC transporter	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_01680	PA14_01680	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_01690	PA14_01690	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_01710	ahpC	antioxidant activity	alkyl hydroperoxide reductase	match to InterPro signature evidence used in automatic assertion	antioxidant activity; oxidoreductase activity; oxidation-reduction process; peroxiredoxin activity; response to oxidative stress
PA14_01720	ahpF	Alkyl hydroperoxide reductase subunit F	alkyl hydroperoxide reductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; flavin adenine dinucleotide binding; oxidation-reduction process; response to reactive oxygen species; alkyl hydroperoxide reductase activity; oxidoreductase activity, acting on NAD(P)H; NAD binding; electron carrier activity; protein disulfide oxidoreductase activity; cell redox homeostasis
PA14_01730	PA14_01730	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	phosphorus metabolic process; polyphosphate kinase activity
PA14_01750	PA14_01750	Putative hydrolase	hydroxydechloroatrazine ethylaminohydrolase	match to InterPro signature evidence used in automatic assertion	hydrolase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
PA14_01760	nuh	Nonspecific ribonucleoside hydrolase	nonspecific ribonucleoside hydrolase	sequence similarity evidence used in automatic assertion	purine nucleotide metabolic process; purine nucleosidase activity; hydrolase activity, hydrolyzing N-glycosyl compounds
PA14_01770	PA14_01770	Putative nucleoside-binding outer membrane protein	nucleoside-binding outer membrane protein	match to InterPro signature evidence used in automatic assertion	cell outer membrane; nucleoside transmembrane transporter activity
PA14_01780	PA14_01780	Putative nucleoside 2-deoxyribosyltransferase	nucleoside 2-deoxyribosyltransferase	match to InterPro signature evidence used in automatic assertion	nucleoside deoxyribosyltransferase activity; deoxyribonucleoside monophosphate catabolic process; deoxyribonucleoside 5'-monophosphate N-glycosidase activity
PA14_01790	PA14_01790	Putative nucleoside 2-deoxyribosyltransferase	nucleoside 2-deoxyribosyltransferase	match to InterPro signature evidence used in automatic assertion	deoxyribonucleoside monophosphate catabolic process; nucleoside deoxyribosyltransferase activity; deoxyribonucleoside 5'-monophosphate N-glycosidase activity
PA14_01800	PA14_01800	Putative basic membrane protein (Bmp)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	plasma membrane
PA14_01810	PA14_01810	Putative dioxygenase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; oxidation-reduction process; iron ion binding
PA14_01830	PA14_01830	adenine deaminase activity	adenosine deaminase	sequence similarity evidence used in automatic assertion	adenine deaminase activity; deaminase activity
PA14_01840	PA14_01840	Putative sigma-70 factor, ECF subfamily	RNA polymerase ECF-subfamily sigma-70 factor	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; DNA-templated transcription, initiation; regulation of transcription, DNA-templated; sigma factor activity
PA14_01870	PA14_01870	Putative TonB-dependent receptor	TonB-dependent receptor	match to InterPro signature evidence used in automatic assertion	outer membrane; receptor activity; transporter activity; transport; membrane; iron ion binding; siderophore transmembrane transporter activity; siderophore transport
PA14_01890	pcaQ	Transcriptional regulator PcaQ	transcriptional regulator PcaQ	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; DNA binding; protocatechuate catabolic process; positive regulation of transcription, DNA-templated
PA14_01900	pcaH	Protocatechuate 3,4-dioxygenase, beta subunit	protocatechuate 3,4-dioxygenase subunit beta	match to InterPro signature evidence used in automatic assertion	catalytic activity; cellular aromatic compound metabolic process; ferric iron binding; oxidation-reduction process; iron ion binding; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; protocatechuate 3,4-dioxygenase activity; protocatechuate catabolic process
PA14_01910	pcaG	Protocatechuate 3,4-dioxygenase, alpha subunit	protocatechuate 3,4-dioxygenase subunit alpha	match to InterPro signature evidence used in automatic assertion	catalytic activity; cellular aromatic compound metabolic process; ferric iron binding; oxidation-reduction process; iron ion binding; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; protocatechuate 3,4-dioxygenase activity; aromatic compound catabolic process
PA14_01930	pcaR	Transcriptional regulator PcaR	transcriptional regulator PcaR	match to InterPro signature evidence used in automatic assertion	DNA binding; regulation of transcription, DNA-templated; positive regulation of transcription, DNA-templated; protocatechuate metabolic process
PA14_01940	PA14_01940	Putative RND efflux membrane fusion protein	RND efflux membrane fusion protein	match to InterPro signature evidence used in automatic assertion	membrane; transmembrane transport
PA14_01960	PA14_01960	Putative RND efflux membrane fusion protein	RND efflux membrane fusion protein	match to InterPro signature evidence used in automatic assertion	membrane; transmembrane transport
PA14_01970	PA14_01970	Putative RND efflux transporter	RND efflux transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_01980	PA14_01980	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_02020	PA14_02020	Putative outer membrane porin	outer membrane porin	match to InterPro signature evidence used in automatic assertion	transport; porin activity; integral component of membrane
PA14_02030	PA14_02030	Putative transcriptional regulator, AraC family	AraC family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding
PA14_02050	PA14_02050	Putative gamma-glutamyltranspeptidase	gamma-glutamyltranspeptidase	match to InterPro signature evidence used in automatic assertion	gamma-glutamyltransferase activity; glutathione metabolic process
PA14_02060	PA14_02060	Putative outer membrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	cell outer membrane
PA14_02070	PA14_02070	Putative xanthine/uracil permease	transporter	match to InterPro signature evidence used in automatic assertion	transport; integral component of membrane; transporter activity; membrane; transmembrane transport
PA14_02090	PA14_02090	Putative transcriptional regulator, TetR family	TetR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; negative regulation of transcription, DNA-templated
PA14_02150	PA14_02150	Putative serine phosphatase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	signal transducer activity; signal transduction; integral component of membrane; catalytic activity
PA14_02180	cheB	Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)	chemotaxis-specific methylesterase	match to InterPro signature evidence used in automatic assertion	phosphorelay response regulator activity; phosphorelay signal transduction system; cytoplasm; chemotaxis; protein-glutamate methylesterase activity
PA14_02190	cheD	Probable chemoreceptor glutamine deamidase CheD (EC 3.5.1.44)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	chemotaxis; protein-glutamine glutaminase activity
PA14_02200	cheR	Chemotaxis protein methyltransferase (EC 2.1.1.80)	chemotaxis protein methyltransferase	match to InterPro signature evidence used in automatic assertion	S-adenosylmethionine-dependent methyltransferase activity
PA14_02220	PA14_02220	Putative chemotaxis transducer	chemotaxis transducer	match to InterPro signature evidence used in automatic assertion	signal transducer activity; chemotaxis; signal transduction; membrane; integral component of membrane
PA14_02230	cheW	Putative purine-binding chemotaxis protein	purine-binding chemotaxis protein	match to InterPro signature evidence used in automatic assertion	signal transducer activity; intracellular; chemotaxis; signal transduction
PA14_02250	cheA	Putative two-component sensor	two-component sensor	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system; signal transducer activity; intracellular; chemotaxis; signal transduction; protein histidine kinase activity; phosphorylation; transferase activity, transferring phosphorus-containing groups; phosphorelay sensor kinase activity; cytoplasm
PA14_02260	cheY	Putative two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system
PA14_02270	PA14_02270	Putative chemotaxis transducer	chemotaxis transducer	match to InterPro signature evidence used in automatic assertion	signal transducer activity; signal transduction; membrane; chemotaxis
PA14_02290	PA14_02290	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_02300	PA14_02300	Putative short-chain dehydrogenase	3-ketoacyl-ACP reductase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_02310	atsA	Arylsulfatase	arylsulfatase	sequence similarity evidence used in automatic assertion	phosphoric diester hydrolase activity; arylsulfatase activity; catalytic activity; metabolic process; sulfuric ester hydrolase activity
PA14_02330	atsC	Putative BC-type transporter, ATP-binding component	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_02340	atsB	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_02360	PA14_02360				
PA14_02370	PA14_02370	Putative outer membrane porin	porin	match to InterPro signature evidence used in automatic assertion	transport; porin activity; integral component of membrane
PA14_02380	PA14_02380	Acid phosphatase (EC 3.1.3.2)	acid phosphatase	match to InterPro signature evidence used in automatic assertion	catalytic activity; membrane
PA14_02390	PA14_02390	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_02410	PA14_02410	Putative TonB-dependent receptor	TonB-dependent receptor	match to InterPro signature evidence used in automatic assertion	receptor activity; transporter activity; transport; membrane
PA14_02420	atsK	Putative alkylsulfatase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_02435	PA14_02435	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_02450	PA14_02450	Putative NAD(P) transhydrogenase, subunit alpha part 1	NAD(P) transhydrogenase subunit alpha part 1	match to InterPro signature evidence used in automatic assertion	NAD(P)+ transhydrogenase activity; proton transport; oxidation-reduction process
PA14_02470	pntB	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	pyridine nucleotide transhydrogenase subunit beta	match to InterPro signature evidence used in automatic assertion	NAD(P)+ transhydrogenase (AB-specific) activity; integral component of membrane; NADP binding; oxidation-reduction process
PA14_02490	tonB2	Protein TonB	hypothetical protein	match to InterPro signature evidence used in automatic assertion	transport; siderophore transmembrane transporter activity; siderophore transport; outer membrane-bounded periplasmic space; energy transducer activity
PA14_02500	exbB1	Transport protein ExbB	transport protein ExbB	match to InterPro signature evidence used in automatic assertion	transport; protein transporter activity; membrane
PA14_02510	exbD1	Transport protein ExbD	transport protein ExbD	match to InterPro signature evidence used in automatic assertion	transport; transporter activity; membrane
PA14_02530	PA14_02530	Putative esterase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	hydrolase activity
PA14_02560	PA14_02560	ATP binding	triphosphoribosyl-dephospho-CoA synthase	match to InterPro signature evidence used in automatic assertion	ATP binding; phosphorylation; triphosphoribosyl-dephospho-CoA synthase activity
PA14_02580	mdcD	Malonate decarboxylase beta subunit	malonate decarboxylase subunit beta	match to InterPro signature evidence used in automatic assertion	ligase activity
PA14_02610	mdcG	Phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.66) (Malonate decarboxylase holo-[acyl-carrier-protein] synthase)	phosphoribosyl-dephospho-CoA transferase	match to InterPro signature evidence used in automatic assertion	nucleotidyltransferase activity
PA14_02620	mdcH	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	epsilon subunit of malonate decarboxylase	match to InterPro signature evidence used in automatic assertion	metabolic process; transferase activity; catalytic activity
PA14_02630	mdcL	Putative malonate carrier protein	malonate carrier protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_02640	mcdM	Putative malonate transporter, MadM subunit	malonate transporter subunit MadM	match to InterPro signature evidence used in automatic assertion	sodium:malonate symporter activity
PA14_02650	PA14_02650	Putative malonate utilization transcriptional regulator	malonate utilization transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
